temperature_K,Cv_model,Cp_exp,S_model,S_exp,Cp_rel_err_pct,S_err_J_K_mol
100,14.8791,15.762,8.59955,9.505,-5.6013,-0.905453
200,21.6553,22.724,21.5827,23.143,-4.70305,-1.56035
250,22.7607,24.018,26.5459,28.364,-5.23486,-1.81813
298.15,23.378,24.869,30.612,32.671,-5.99558,-2.05897
300,23.3963,24.897,30.7567,32.825,-6.02764,-2.0683
350,23.7923,25.568,34.3952,36.715,-6.94514,-2.31979
400,24.0546,26.144,37.5905,40.167,-7.99199,-2.57653
450,24.2369,26.668,40.4348,43.277,-9.11623,-2.84217
500,24.3685,27.171,42.9956,46.113,-10.3142,-3.11739
600,24.5416,28.184,47.4552,51.156,-12.9235,-3.70077
