temperature_K,Cv_model,Cp_exp,S_model,S_exp,Cp_rel_err_pct,S_err_J_K_mol,Cp_rel_err_pct_el,S_err_J_K_mol_el
100,15.3691,15.762,9.34649,9.505,-2.4926,-0.158508,-1.69321,-0.0325082
200,21.8462,22.724,22.5592,23.143,-3.86305,-0.583816,-2.75409,-0.331816
250,22.8904,24.018,27.5578,28.364,-4.69497,-0.806202,-3.38346,-0.491202
298.15,23.4721,24.869,31.6435,32.671,-5.61701,-1.02748,-4.10642,-0.651808
300,23.4894,24.897,31.7888,32.825,-5.65379,-1.03623,-4.13554,-0.65823
350,23.862,25.568,35.4398,36.715,-6.67223,-1.27524,-4.94742,-0.834243
400,24.1087,26.144,38.6432,40.167,-7.78493,-1.52375,-5.85715,-1.01975
450,24.28,26.668,41.4933,43.277,-8.95438,-1.78369,-6.82824,-1.21669
500,24.4037,27.171,44.0582,46.113,-10.1846,-2.05479,-7.86599,-1.42479
600,24.5663,28.184,48.5232,51.156,-12.8361,-2.63278,-10.1537,-1.87678
